objectid,title,creator,date,date-display,description,subject,location,latitude,longitude,specialized_collection,repository_url,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
spc_009,NOW memorandum on how ERA would effect abortion funding and gay/lesbian marriage,National Organization for Women,1984-11-07,"November 7, 1984","Apparently Maine was concerned that passing ERA would allow for state funded abortions and allow for gay/lesbian marriage, but the opinion of the Maine Attorney General was that ERA would not support these rights. Reckitt, now Executive Vice President of NOW, recived a copy, but it also shows her ongoing interest in Maine pasing ERA.",Equal Rights Amendment (ERA),"Washington, D.C.",,,Special Collections,,Lois Galgay Reckitt Papers,LG-MS0083,Text,application/pdf,en,In copyright - Educational use permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,,/objects/SPC_LGMS0083_b17a_NOWMaineERAmemo.pdf,/objects/small/spc_lgms0083_b17a_nowmaineeramemo_sm.jpg,/objects/thumbs/spc_lgms0083_b17a_nowmaineeramemo_th.jpg,,
spc_010,"Materials for February 9, 1985 NOW meeting in the New York Offices to plan a campaign for Lesbain & Gay rights",National Organization for Women,1985-01-01,January 1985,"For the strategy meeting on lesbian and gay rights, NOW put together a packet of informtion  including the meeting agenda, a draft informational pamphlet, an outline for a PAC manual on lesbian and gay rights, and draft resolutions to guide NOW's campaign.",Lesbian and Gay rights,"New York, New York",,,Special Collections,,Lois Galgay Reckitt Papers,LG-MS0083,Text,application/pdf,en,In copyright - Educational use permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,,/objects/SPC_LGMS0083_b19_NOWmeetingmaterials.pdf,/objects/small/spc_lgms0083_b19_nowmeetingmaterials_sm.jpg,/objects/thumbs/spc_lgms0083_b19_nowmeetingmaterials_th.jpg,,
spc_011,"1977 Maine LD 1419 An Act to Include the Term ""Sexual or Affectional Preference"" in the Maine Human Rights Act",Maine Legislature,1977,1977,"Right next to the materials for the February 9, 1985 NOW meeting, Reckitt kept a copy of draft Maine legislation. Such legislation would not pass in Maine until 2005. ",Maine Lesbian and Gay rights,"Augusta, Maine",,,Special Collections,,Lois Galgay Reckitt Papers,LG-MS0083,Text,application/pdf,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,,/objects/SPC_LGMS0083_b19_LD1419.pdf,/objects/small/spc_lgms0083_b19_ld1419_sm.jpg,/objects/thumbs/spc_lgms0083_b19_ld1419_th.jpg,,
spc_012,Power Through Action. National Lesbian Rights Agenda. National Lesbian Rights Conference sponsored ,National Organization for Women,1988-10-01,October 1988,"The National Lesbian Rights Conference was sponsored by NOW. Reckitt made notes throughout the agenda, but her annotations on pages 6 and 7 show her steady commitment to ERA, lesbian and gay rights, and helping all women.","Lesbian and Gay rights, Equal Rights Amendment (ERA), National Organization for Women","San Diego, California",,,Special Collections,,Lois Galgay Reckitt Papers,LG-MS0083,Text,application/pdf,en,In copyright - Educational use permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,,/objects/SPC_LGMS0083_b19_PTAbooklet.pdf,/objects/small/spc_lgms0083_b19_ptabooklet_sm.jpg,/objects/thumbs/spc_lgms0083_b19_ptabooklet_th.jpg,,
spc_013,Sex-Sexual Orientation-Gender Identity blocks,Unknown,,Approximately 1994,"Vermette saw the need for trans education which no one was filling so she founded Maine Gender Resource and Support services (MEGRESS). She traught her first ""Transgender 101"" on February 10, 1994 to 400 students at University of Maine Orono. The last sesion was in 2017 to LGBT leaderhsip students. The blocks were developed for the workshops. Notice how the white block (biological/physcial sex) has been updated as terms changed.","Gender, sexual identity",,,,Special Collections,,Jean Vermete Papers,LG-MS0041,Image;StillImage,image/jpeg,en,In copyright - Educational use permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,,/objects/SPC_LGMS0041_genderdice_001.jpg,/objects/small/spc_lgms0041_genderdice_001_sm.jpg,/objects/thumbs/spc_lgms0041_genderdice_001_th.jpg,,
spc_014,Je Me Souviens: One Person's Experience with Male-to-Female Sex Reassignment Surgery,"Vermette, Jean",1999,1999,"Vermette, Jean. Je Me Souviens: On Person's Experince with Male-to-Female Sex Reassignment Surgery. Bangor, ME: Maine Gender resources and Support Service, 1999. Publishing her first hand account, like her workshops, both empowered other trans people and educated society. Her closing section is a call for acceptance and a demand for respect.",Gender affirming surgery,"Bangor, Maine",,,Special Collections,,Jean Vermete Papers,LG-MS0041,Text,application/pdf,en,In copyright - Educational use permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,,/objects/SPC_LGMS0041_b01_JeMeSouviens.pdf,/objects/small/spc_lgms0041_b01_jemesouviens_sm.jpg,/objects/thumbs/spc_lgms0041_b01_jemesouviens_th.jpg,,
spc_015,Jean Vermette acceptance speech for Maine Lesbian Gay Political Alliance's Great Pioneer Award,"Vermette, Jean",2000-04-08,"April 8, 2000","In 2000, the Maine Lesbian Gay Political Alliance's (later EqualityMaine) honored Vermette's educational work with its Great Pioneer Award. Vermette concludes that acceptance across the LGBTQ spectrum is what we are all working toward.","EqualityMaine, transgender people","Portlad, Maine",,,Special Collections,,Jean Vermete Papers,LG-MS0041,Text,application/pdf,en,In copyright - Educational use permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,,/objects/SPC_LGMS0041_b01f03_JVspeech.pdf,/objects/small/spc_lgms0041_b01f03_jvspeech_sm.jpg,/objects/thumbs/spc_lgms0041_b01f03_jvspeech_th.jpg,,
spc_016,Testimony of Jean Vermette in Opposition to LD 1589,"Vermette, Jean",2007-04-23,"April 23, 2007","Turning to advocacy, Vermette testified against laws which would harm trans people. Commonly know as the ""bathroom bill,"" LD1589 sought to restrict trans youth from using the bathrooms, changing rooms, and locker rooms matching their gender identity. Vermette used common sense to argue the bill was unecessary, and pointed out the law went against medical and psychological standards.",transgender rights,"Augusta, Maine",,,Special Collections,,Jean Vermete Papers,LG-MS0041,Text,application/pdf,en,In copyright - Educational use permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,,/objects/SPC_LGMS0041_b04f47_JVtestimony.pdf,/objects/small/spc_lgms0041_b04f47_jvtestimony_sm.jpg,/objects/thumbs/spc_lgms0041_b04f47_jvtestimony_th.jpg,,
spc_017,Jean Vermette letter to Editor Bangor Daily News,"Vermette, Jean",2007-12-21,"December 21, 2007","Vermette continued to advocate publicly for trans youth. In response to stories about a citizen urging his granson to harass a trans child using the female restroom, Vermette reminds readers that the law protects trans youth and that ""everyone deserves to be treated with dignity.""",transgender rights,"Bangor, Maine",,,Special Collections,,Jean Vermete Papers,LG-MS0041,Text,application/pdf,en,In copyright - Educational use permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,,/objects/SPC_LGMS0041_b04f48_JVoped.pdf,/objects/small/spc_lgms0041_b04f48_jvoped_sm.jpg,/objects/thumbs/spc_lgms0041_b04f48_jvoped_th.jpg,,
spc_018,Family Affairs Newsletter. September 2004- December 2009,"Vermette, Jean",2009-12-01,December 2009,"Vermette founded and published the Family Affiars Newsletter online from 2004-2009. It was a free, twice-a-month, social activities newsletter for the GLBTQI (gay/lesbian/bisexual/trans/queer/intersex) community, sent out around the 1st and 15th of each month. It covered the state of Maine only. Over the years it evolved from a social activities newsletter into a business directory, classified ad service, and community bulletin board. In the last issue Vermette jokes ""Being manically powerful over the past seven and a half years has not always [been] easy..."" The newsletters caterting to the LGBTQ+ community were a vital resources. They spread news, and advertised LGBTQ+ businesses, organizations, and services.",LGBTQ+ history in Maine,"Bangor, Maine",,,Special Collections,https://digitalcommons.usm.maine.edu/fan/232/,Family Affairs Newsletter,,Text,application/pdf,en,In copyright - Educational use permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,/objects/SPC_FamilyAffairsNewsletter_20091215.pdf,/objects/small/spc_familyaffairsnewsletter_20091215_sm.jpg,/objects/thumbs/spc_familyaffairsnewsletter_20091215_th.jpg,,
